organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Positive Results _L&D HV02-12,MOH 731 Positive Results_ANC HV02-11,MOH 731 Positive Results_PNC<=6wks HV02-13,MOH 731 Positive_Total (Sum HV01-18 to HV01-25) HV01-26
W6UzGqEOj8M,Chepkono Dispensary,20330,,,,,1
OL7Nw5p8c29,Chepkosilen Dispensary,20941,,,1,,1
mQr9UuKUX89,Chepkube Dispensary,15854,,,3,,5
kgsc8NfhQtf,Chepkumia Dispensary,14348,,,1,,3
LLYL3dkDB2P,Chepkunyuk Dispensary,14351,,,,,1
fxMTpmQn1Qs,Cheplanget Dispensary,14353,,,2,,3
g6jjdlzh7ju,Cheplengu Dispensary,17629,,,,,1
jVfleNBXcwG,Chepngombe Health Centre,13523,,,,,3
R4ov41Zg4Hw,Chepsir Dispensary,14362,,,,1,3
ZKK9dE79Six,Chepsiro Dispensary,14363,,,,,3
TlhAVJXzwrj,Cheptabes Dispensary,14365,,,1,,1
qCpPJL5V2m1,Cheptais Sub County Hospital,15855,moh,,2,,6
ULWedqfO8cB,Cheptalal Sub County Hospital,14366,,,,,6
w6mJwY7lGCo,Cheptangulgei Dispensary,17334,,,,,1
G4TlNtgrGP9,Cheptantan Dispensary,19750,,,1,,
wZn5GUHSpIZ,Chepterwai Sub-County Hospital,14369,,,,,3
BYXiwFP8CcL,Chepterwo Dispensary,14370,,,1,,2
jED59CNbQmk,Cheptuech Dispensary,14374,,,,,2
XnGVGDX5V6T,CHEPTULU DISPENSARY,24986,NEXT TO CHEPTULU MARKET,,,,7
E44mD0UvY4B,Cherangany Nursing Home,14380,,,,,2
xmCIA3BSudt,Cherangany Sub County Hospital,14379,,,,,5
xgwRS9ihlJ0,Chesanga Dispensary,21091,Situated along Kericho -Kapsuser Road Near Kipsigis Girls .Opened in year 2015,,1,,3
gFHxw12vU5Y,Chesikaki Dispensary,15856,,,,,1
ZUf4wJfMjH4,Chesinende Dispensary,18582,,,,,3
mfEvntdmjUe,Chevoso Dispensary,15857,,,2,,3
lwUfSBkSOE0,Chiakariga Health Centre,11969,,,,,4
TFTsjlwBeca,Chianda Dispensary (Rarieda),18564,Dispensry,,1,,6
cMV2EgW6Tza,Chief Milimu Dispensary,16144,,,,,8
qNO02IGD3yn,Chiga Sub County Hospital,13524,,,,,9
kUsA28Yefik,Child Doctor Kenya,19504,,,,,5
D4qI2X6dXcu,Chimoi,15858,,,,,2
kVVmxGZKCfA,Chinato Health Centre,13526,,1,,,2
xIygblk3gKy,Chitsanze Dispensary,22497,,,,,1
WlzF2rt1FRJ,Chogoria Hospital Chuka Medical Center,22364,,,,,2
S9Q1bx9tpZz,Chombeli Health Centre,15859,,,,1,6
ZNcMHrrWMpo,Chongewa Health Centre,31251,,,1,,4
Q1cLTOTQ8i7,Christamarianne Mission Hospital,13527,,,2,,15
BfvRU0y4Lor,CHS Kitui Central Dice,20448,Within Kitui District Hospital,,,,4
AhuFQlj25k0,Chs Makindu Dice,19890,,,,,3
OXqeMIqNOUe,CHS Mlolongo Dice,25229,,,,,3
gFkev50QJCf,CHS Mwingi Central Dice,20203,,,,,3
sD0C4mSXA4H,Chuka County Refferal Hospital,11973,,2,1,,19
SZ5jx60nzdK,Chuka Dice,19882,,,,,2
aRWvqnCMOEN,Chulaimbo County Hospital,13528,,,3,,26
kHW7YlR4QJy,Chuluni Health Centre,11974,,,1,,3
kELHw0BoPXc,Chumani Dispensary,24115,,,2,,4
S2nFt5STJyM,Chuowe Health centre,13529,,,1,,2
PjJrujKwMvY,Chuthber Health Centre,13530,,,,,2
fUo2NrKCikw,Chwele Friends Dispensary,15861,,,1,,9
qZCaWe683G3,Chwele Sub County Hospital,15860,,1,3,,11
jKtNJ4fwzW0,Ciagini Health Centre,10096,"VI juction/Karaba road, off Wanguru/Wamumu road",,,,1
qlNkkxCbBOY,Cianda Dispensary,10097,,,,,5
K0V3ql7ufV0,City Point Group of Hospitals Kajiado,24921,,,,,1
ZLKeFpFXbAQ,Cmf Aitong Health Centre,14394,,,1,,4
z9Vb4MNREvD,Coast General Teaching and Referal Hospital-Utange Fied Hospital,31561,,,,,3
WQBUBXxXVe5,Coast General Teaching and Referral Hospital,11289,,1,2,1,82
kJ5MjZkaoSP,Coast General Teaching and Referral Hospital (Chaani Outreach Centre),11274,,,,,15
